--- START DATA ---
CYCLE_ID:1
1,-96,98
67,-124,0
12,-86,36
4,-128,0
101,-96,26
144,-128,48
128,-98,0
120,-96,12
65,-121,12
34,-110,29
18,-127,48
72,-128,72
128,-127,66
8,-128,80
45,-80,74
70,-94,32
0,-120,68
24,-104,65
80,-115,80
83,-64,0
32,-103,64
134,-96,52
160,-116,34
114,-222,67
6,-124,0
40,-92,96
0,-120,64
162,-127,66
164,-124,64
160,-124,82
24,-78,2
48,-94,96
74,-108,128
70,-109,68
16,-68,96
97,-192,129
1,-240,72
0,-112,16
75,-125,68
0,-128,66
150,-124,72
13,-126,100
37,-112,76
40,-70,5
88,-124,12
13,-117,64
68,-92,88
78,-108,96
129,-112,72
128,-120,82
25,-191,64
11,-60,49
168,-106,67
0,-108,35
64,-127,130
36,-248,78
20,-128,2
72,-113,2
160,-88,20
128,-128,0
84,-144,10
0,-212,10
68,-247,0
66,-248,65
1,-112,74
12,-111,48
128,-84,32
168,-102,66
0,-232,16
8,-102,4
102,-116,97
136,-124,1
154,-117,0
5,-212,66
144,-120,2
104,-96,77
26,-96,96
68,-127,5
2,-105,80
0,-110,8
11,-79,0
0,-94,23
148,-120,25
130,-96,18
98,-216,64
83,-91,22
0,-119,116
128,-122,76
128,-96,5
8,-79,1
67,-120,132
130,-192,2
16,-128,10
138,-120,64
3,-108,74
137,-64,0
128,-79,0
9,-124,18
81,-126,104
0,-88,97
138,-105,64
56,-92,76
102,-199,68
99,-108,46
8,-108,33
74,-125,65
4,-128,0
138,-126,32
16,-128,68
0,-92,64
141,-96,1
108,-95,80
24,-125,67
44,-120,72
25,-115,92
2,-62,0
112,-109,73
56,-112,104
80,-76,82
10,-118,65
10,-120,49
129,-128,1
64,-96,68
0,-63,80
32,-124,44
128,-110,80
128,-123,8
144,-116,66
64,-96,8
36,-126,40
140,-220,48
3,-128,9
68,-120,69
0,-84,17
0,-128,33
31,-94,1
40,-123,64
132,-128,64
48,-126,74
160,-120,80
128,-128,77
134,-128,48
0,-122,19
148,-110,9
40,-95,10
96,-96,1
1,-128,128
66,-111,1
1,-126,0
17,-125,0
25,-119,86
32,-111,0
146,-124,80
84,-96,76
104,-112,102
102,-184,56
64,-127,36
128,-56,96
34,-126,2
5,-128,67
34,-128,66
64,-114,80
40,-103,0
136,-128,72
54,-185,1
100,-94,0
109,-64,69
145,-123,16
128,-128,14
77,-256,65
67,-120,67
146,-126,68
128,-128,76
146,-89,65
64,-124,34
34,-104,11
138,-113,20
77,-96,32
66,-107,64
71,-126,33
144,-84,104
3,-124,93
137,-127,99
133,-128,88
20,-72,4
40,-110,6
136,-118,5
40,-123,85
144,-63,26
116,-64,128
112,-103,82
0,-124,16
152,-124,8
17,-96,80
24,-118,96
6,-84,9
2,-123,65
0,-86,8
0,-104,9
80,-126,0
68,-96,66
140,-70,68
143,-95,48
66,-108,24
53,-47,1
4,-63,33
3,-96,4
128,-110,74
0,-128,64
13,-126,0
32,-127,65
6,-128,0
17,-127,64
70,-128,68
72,-123,105
4,-96,89
88,-254,82
65,-113,128
0,-208,10
66,-185,0
160,-96,0
0,-96,96
8,-126,64
101,-118,64
162,-112,97
79,-120,76
34,-94,0
70,-127,2
88,-110,104
73,-120,8
32,-112,83
4,-47,72
0,-121,97
160,-116,28
72,-88,72
4,-219,1
80,-126,18
0,-128,16
0,-208,65
134,-88,66
172,-128,9
38,-112,17
32,-95,70
136,-104,0
129,-96,70
2,-116,78
138,-192,1
16,-94,32
11,-111,50
0,-102,0
5,-96,2
68,-124,4
68,-96,99
70,-101,0
0,-127,96
40,-128,0
74,-220,20
16,-120,65
64,-126,80
49,-128,97
80,-128,72
128,-127,32
128,-96,14
83,-96,1
1,-118,36
132,-124,33
36,-128,64
100,-128,3
1,-112,55
0,-127,84
4,-224,4
2,-216,74
16,-127,96
19,-128,13
36,-109,0
2,-124,64
130,-64,64
128,-126,81
36,-92,97
64,-115,96
64,-126,113
53,-64,56
136,-62,65
20,-96,74
162,-68,36
128,-88,48
24,-208,67
42,-72,2
10,-128,4
12,-239,0
84,-127,97
0,-94,32
138,-84,84
8,-96,67
96,-125,24
0,-76,67
40,-128,75
65,-72,64
68,-172,0
0,-127,67
9,-95,60
68,-110,98
154,-128,24
49,-128,0
166,-108,5
21,-126,29
64,-112,5
134,-95,76
16,-110,64
106,-64,118
16,-68,0
0,-122,64
16,-77,80
16,-128,96
18,-120,64
32,-104,97
4,-214,18
89,-79,16
3,-75,22
1,-95,20
96,-111,16
10,-52,96
128,-96,1
6,-96,97
1,-127,104
0,-126,64
96,-95,32
2,-120,1
21,-112,2
132,-200,130
68,-123,36
148,-116,16
72,-123,28
110,-122,16
132,-117,80
0,-88,32
0,-110,98
11,-96,2
16,-125,72
130,-122,97
111,-128,106
66,-91,8
128,-124,10
129,-128,32
144,-127,32
49,-96,64
0,-95,4
64,-95,66
137,-86,52
128,-108,77
0,-64,100
36,-126,70
45,-104,65
52,-96,56
131,-122,73
96,-120,48
8,-120,1
76,-116,10
68,-212,26
104,-124,80
64,-110,3
16,-124,4
30,-96,33
30,-76,36
32,-127,20
108,-127,65
128,-128,65
132,-92,66
1,-104,90
65,-110,8
0,-120,32
134,-102,67
168,-128,66
51,-64,18
64,-112,4
0,-104,24
129,-124,0
105,-123,16
139,-126,82
4,-80,64
64,-93,22
136,-91,64
128,-116,0
0,-110,65
113,-116,81
24,-128,4
1,-112,82
6,-125,36
91,-118,51
20,-120,12
25,-109,68
18,-79,64
50,-124,73
10,-120,73
46,-80,50
67,-99,71
5,-124,68
101,-127,47
81,-112,64
144,-127,26
